Continent,id,1500,1600,1700,1800,1900,1950
Asia,1,6.409090909,7.954545455,9.340909091,14.43181818,21.52272727,31.86363636
Africa,2,2.866666667,3.8,3.533333333,3.566666667,4.433333333,7.366666667
Europe,3,16.8,17,17.8,20.3,40.8,54.7
North America,4,0.25,0.125,0.08333333333,0.2916666667,3.416666667,7.166666667
South America,5,2.222222222,1.111111111,0.5555555556,1.333333333,4.111111111,9.277777778
Oceania,6,0.3333333333,0.3333333333,0.3333333333,0.2222222222,0.6666666667,1.444444444
