CountryName,id,1960,1970,1980,1990,2000,2010
Guinea-Bissau,624,22.16973684,25.31394026,30.22354196,37.56073969,46.78004979,58.11507824
Guyana,328,2.958842967,3.535971735,3.996007112,3.659039878,3.770474981,3.827086614
Haiti,332,143.0828374,170.8504717,206.4162554,257.6100508,310.2032656,362.8308055
Honduras,340,0,18.49213513,24.72467602,33.52259362,55.79658593,67.06475109
Hungary,348,111.3873945,114.891198,119.1315983,115.4332703,113.9362977,110.4608748
Iceland,352,1.785825436,2.039281796,2.275690773,2.541905237,2.805037406,3.172478803
India,356,154.2758643,186.312757,234.5056135,292.8174035,354.3268584,414.0282
Indonesia,360,49.75697047,63.389646,81.41576975,100.1544633,116.7718763,133.3722274
Iran,364,13.8039483,17.50883363,23.74395751,34.49031101,40.43478063,45.59477633
Iraq,368,17.09160208,22.67641128,31.21695132,39.9626289,53.90116149,71.07237981
Ireland,372,40.99869357,42.92713021,49.53984613,51.00847728,55.23550588,66.19473073
Israel,376,100.9704251,137.4306839,179.2051756,215.3419593,290.6192237,352.2920518
Italy,380,171.8280575,182.999048,191.8801911,192.8504301,193.608201,201.5279017
Jamaica,388,152.5313943,172.5761773,196.9529086,220.6832872,239.0940905,248.4602031
Japan,392,258.9119171,284.5514044,318.8151788,338.8288535,347.9917695,351.309834
Jordan,400,10.51507253,18.7530485,25.84621487,38.06043744,54.02851315,73.41644515
Kazakhstan,398,3.752217283,4.725430603,5.377976812,6.055487647,5.513066637,6.045701745
Kenya,404,14.69136241,19.77099835,28.58331166,41.19589029,54.58379309,70.85833538
Kosovo,992,0,0,0,0,0,0
Kuwait,414,16.53417508,42.09786756,77.68473625,115.5349046,108.2755331,171.6875982
Kyrgyz Republic,417,11.76173097,15.43222106,18.86027112,22.89468196,25.53910323,28.40406674
Laos,418,9.398990468,11.63788995,14.09315858,18.40484835,23.14938908,27.12540728
Latvia,428,34.6112451,37.93112097,40.38364203,42.81868609,38.06595279,33.70107648
Lebanon,422,182.2683284,224.5750733,254.6719453,264.2247312,316.2639296,423.9644184
Lesotho,426,28.53270751,34,43.06333992,52.61969697,61.1404809,66.22483531
Liberia,430,11.88637874,14.739701,19.64834925,21.83219477,30.02458472,41.09208887
Libya,434,0.843320413,1.201600418,1.813714948,2.49975505,3.033329166,3.560985826
Lithuania,440,45.04706445,50.0907626,54.45440332,58.99550096,55.83178047,49.4181412
Luxembourg,442,0,0,0,0,168.4555985,195.734749
"Macedonia, [FYROM]",807,59.28639402,67.66802989,75.66629965,78.49889894,79.12115611,81.77807296
Madagascar,450,8.982393301,11.30842418,15.0402655,19.85380541,27.07433882,36.24777659
Malawi,454,39.24514213,48.83049427,65.37149979,99.79845142,118.7232711,156.659143
Malaysia,458,25.65627454,33.20235581,42.10542992,55.42869274,71.28519556,85.5866687
Mali,466,4.361834632,4.875505454,5.810672928,6.951437891,9.053447414,12.43026578
Mauritania,478,0.856915688,1.114687106,1.488391384,1.963388959,2.630659746,3.484428059
